순위,등록번호,서명,저자,발행자,청구기호,대출횟수
119,EM0000292028,(초등 저학년을 위한) 처음 공부 습관,4차원 글.구성 ; 김현숙 그림,개똥이책,J373.4-사811ㅊ,9
120,EM0000286907,(어린이를 위한) 공부비법 : 공부비법을 알면 성적이 오른다!,김영진 지음 ; 오렌지 일러스트,동네 스케치,J373.4-김64ㄱ,9
121,EM0000277944,"내일은 실험왕. 8,9,10,11",곰돌이 co. 글  ; 홍종현 그림,대한교과서주식회사,J407-곰225ㄴ-9=3,9
122,EM0000273196,친구는 초록 냄새,구도 나오코 글  ; 초 신타 그림  ; 고향옥 옮김,청어람미디어,J833.8-구225ㅊ,9
123,EM0000271071,아빠의 비밀,정도상 지음  ; 이정규 그림,내인생의책,J813.8-정225ㅇ=6,9
124,EM0000271018,내 가슴에 해마가 산다,김려령 글  ; 노석미 그림,문학동네,J813.8-김234ㄴ,9
125,EM0000241627,(초등학생도 알면) 세상이 보이는 역사상식 200가지,"한교원 글, 김종엽 그림",능인 NI BOOK,J909-한16ㅅ,9
126,EM0000237521,똥 땅 나라에서 온 친구,박정애 글 ; 임경섭 그림,웅진주니어,J813.8-박73ㄸ=3,9
127,EM0000404696,"내일은 발명왕. 16,17",곰돌이 co.,아이세움,JU507.5-곰225ㄴ-16,9
128,EM0000397186,(코믹 메이플스토리) 수학도둑. 31,송도수 글  ; 서정은 그림,서울문화사,J410-송225ㅅ-31,9
129,EM0000395376,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-7,9
130,EM0000395375,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-6,9
131,EM0000395370,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-1,9
132,EM0000394006,(빈대 가족의) 천 원으로 살아남기,이봉기 글 ; 류수형 그림,재미북스,J320.4-이45ㅊ,9
133,EM0000391111,(쿠키런) 한자런  : 달리는 쿠키들의 한자 대모험. 1-3,최근덕  지음 주훈 그림,서울문화사,J711.4-최18ㅎ-1,9
134,EM0000390813,내일은 실험왕. 29-31,"스토리 a. 글 ;  홍종현 그림 ; 감수 : 박완규, 이창덕",아이세움,J407-곰225ㄴ-31,9
135,EM0000228722,꼬마천사 동당당의 출장,김진우 지음 ; 민경순 그림,청개구리,J813.8-김79ㄲ,9
136,EM0000225445,고양이에 대한 101가지 비밀,가와다 나오미 글 ; 해바라기 옮김,예림당,J527.47-가66ㄱ,9
137,EM0000221182,세상을 바꾸는 아이들의 33가지 이야기,잭 캔필드 ; 마크 빅터 한센 [공]엮음 ; 김서정 옮김 ; 노희성 그림,랜덤하우스중앙,J848-세51,9
138,EM0000216791,정말 잘했어,박성배...[등]지음 ; 한호진 그림,해피북스,J813.8-정31,9
139,DV0000005715,모아나,론 클레멘츠 감독,월트디즈니,DV 688.6-모61,8
140,EM0000210024,(지도없이 떠나는)101일간의 시간여행,호기심박스 글 ; 노기동 그림,영교출판,J909-호19ㅂ,8
141,EM0000218061,두리 날다,김자환 글 ; 김준영 그림,대교출판,J813.8-김71ㄷ=3,8
142,EM0000218700,나의 비밀 일기장,문선이 글 ; 정문주 그림,푸른숲,J813.8-문53ㄴ,8
143,EM0000378166,바다탐험대 옥토넛  : 깊고 넓은 신비한 바다 여행,메오미 지음  ; 홍연미 옮김,문학수첩 리틀북,MC 843-메65ㅂ,8
144,EM0000363835,살인자의 기억법  : 김영하 장편소설,지은이: 김영하,문학동네,813.7-김64ㅅ,8
145,EM0000357500,"내일은 실험왕. 23 , 달의 대결",스토리 a. 글 ; 홍종현 그림,아이세움,J407-곰225ㄴ-23,8
146,EM0000326373,"(으랏차차) 삼국유사. 1,2",일연 원작 ; 김진태 각색.그림,고릴라박스,J911.03-삼17-1,8
147,EM0000312838,"(I'm happy) 읽으면 행복해지는 동화. [2,3,7,12,13,15]",린지 레그혼 글.그림,루크북스,독(J) 180-읽68-12=4,8
148,EM0000305728,(KBS 위기탈출) 넘버원. 11-20,에듀코믹 구성 ; 차현진 그림,밝은미래,J539-넘43-12=7,8
149,EM0000300668,(KBS 위기탈출) 넘버원. 11-20,에듀코믹 구성 ; 차현진 그림,밝은미래,J539-넘43-14,8
150,EM0000283336,(생각의 크기를 쑥쑥 자라게 하는) 세상에서 가장 재미있는 50가지 이야기,제임스 M. 볼드윈 지음  ; 김희정 옮김  ; 이정헌 그림,Scope,J848-볼228ㅅ,8
151,EM0000280913,나는야 바꾸기 대장,구도 나오코 글 ; 히로세 겐 그림 ; 주혜란 옮김,와이즈아이books,J833.8-구225ㄴ,8
152,EM0000238955,엄마가 대머리가 되다니,"앤 스펠츠 지음, 케이트 스턴버그 그림, 이수영 옮김",해와나무,J848-스843ㅇ,8
153,EM0000238943,"얘들아, 학교가자","안 부앵 글, 상드린, 알랭 모레노 사진, 오렐리아 프롱티 그림, 선선 옮김",푸른숲,J372-부62ㅇ,8
154,EM0000238907,"미안해, 정말 몰랐어 : 친구를 사귀는 동화","소중애, 정진, 배익천, 이지현, 이동렬, 이규희, 이희곤, 유효진 글, 최철민, 박영미, 한여진 그림",어린른이,J813.8-미61,8
155,EM0000238891,왕따,"이윤학 지음, 전종문 그림",문학과지성사,J813.8-이67ㅇ,8
156,EM0000238276,고얀 놈 혼내주기,김기정 글 ; 심은숙 그림,시공사,J813.8-김19ㄱ,8
157,EM0000236520,우리 형이 온다,정란희 글 ; 이지현 그림,웅진씽크빅,J813.8-정231ㅇ=4,8
158,EM0000228240,짜장면,박재형 글 ; 조민경 그림,대교출판,J813.8-박72ㅉ=7,8
159,EM0000227072,1학년 1반 어디 있니? 깜빡 대장,고토우 류우지 글 ; 하세가와 토모코 그림 ; 이장선 옮김,꿈소담이,J833.8-고835ㅇ,8
160,EM0000225140,칠공주집,김향이 글 ; 원유미 그림,파랑새어린이,J813.8-김92ㅊ,8
161,EM0000351678,신과함께  : 신화편. 상,주호민 지음,애니북스,818-주95ㅅ-상,8
162,EM0000342083,(퀴즈!)과학상식  :  꼬질꼬질 과학,안광현 지음,글송이,J404-안16ㄱ,8
163,EM0000255714,세상에 소문난 공부의 달인들 : 위인들이 전수하는 천하제일 공부 비법!,"금현진 지음, 김미정 그림",위즈덤하우스,J373.4-금94ㅅ,8
164,EM0000254292,내 이름은 아임쏘리,"장수명 글, 김품창 그림",한림출판사,J813.8-장57ㄴ,8
165,EM0000250844,독서통장 : 매일 매일 달라지는 신나는 독서노트,"이언정, 이은정 글, 원유일 그림",푸른나무,J029.8-이63ㄷ=4,8
166,EM0000247942,밴드마녀와 빵공주,"김녹두 글, 이지선 그림",한겨레출판,J813.8-김215ㅂ,8
167,EM0000247276,하늘을 달리는 아이,제리 스피넬리 지음 ; 김율희 옮김,다른,J843-스849ㅎ,8
168,EM0000246751,해님과 달님이 된 오누이,민족문화추진회 엮음 ; 박시교 ; 박영웅 글씀 ; 노선미 그림,아침나라,J813.7-박59ㅎ,8
169,EM0000242892,(매일)지각하는 아이,김상희 글 그림,계수나무,J813.8-김51ㅈ,8
170,EM0000430199,우렁이 색시,신경아 글 ; 미르 그림,키즈엠,MC 813.5-신14ㅇ,8
171,EM0000430198,"용이 불을 안 뿜어요, 어떡하죠?",디디에 레비 글 ; 프레드 베나글리아 그림 ; 류재화 옮김,국민서관,MC 863-레49ㅇ,8
172,EM0000430056,내가 할게요,구스노키 시게노리 글 ; 노시 사야카 ; 김정화 옮김,아이세움,MC 833.8-구58ㄴ,8
173,EM0000430036,(나누면서 채워지는) 이상한 여행  : 탕가피코 강에서 배우는 나눔의 규칙,디디에 레비 글  ; 알렉상드라 위아르 그림  ; 마음물꼬 옮김,고래이야기,J863-레49ㅇ,8
174,EM0000429983,(드래곤빌리지) 한자배틀. 1-4,김정욱 글 ; 김기수 그림,학산문화사,J711.4-김73ㅎ-2,8
175,EM0000429857,"직업체험 학습만화 Job?. 16, 나는 영화사에서 일할 거야!",Team.신화 글·그림,국일아이,J321.55-직63-16,8
176,EM0000429855,"직업체험 학습만화 Job?. 12, 나는 여행사에서 일할 거야!",배경희 글 ; 안중걸 그림,국일아이,J321.55-직63-12,8
177,EM0000429853,"직업체험 학습만화 Job?. 24, 나는 소방서에서 일할 거야!",손종근 글.그림,국일아이,J321.55-직63-24,8
178,EM0000429847,"직업체험 학습만화 Job?. 7, 나는 나사에서 일할 거야!",Team.신화 글·그림,국일아이,J321.55-직63-7,8
179,EM0000429846,"직업체험 학습만화 Job? . 21, 나는 기상청에서 일할 거야!",Team. 신화 글그림,국일아이,J321.55-직63-21,8
180,EM0000429843,"직업체험 학습만화 Job?. 10, 나는 국회에서 일할 거야!",신승희 지음 ; 문인호 그림,국일아이,J321.55-직63-10,8
181,EM0000429840,"직업체험 학습만화 Job?. 8, 나는 경찰서에서 일할 거야!",배경희 글 ; 정종석 그림,국일아이,J321.55-직63-8,8
182,EM0000429822,"묵향. 34, 배신의 시대",전동조 지음,명상,813.6-전225ㅁ-34,8
183,EM0000429367,기다렸던 복수의 밤  : 야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음 ; 김성미 옮김,Book plaza,833.6-야827ㄱ,8
184,EM0000428681,(루루와 라라의) 새알심 디저트,안비루 야스코 글·그림  ; 정문주 옮김,소담주니어,J833.8-안49ㅅ,8
